VGDCName,TvTName,type,url,comment
PlayableCharacters,PlayableCharacters,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIIPlayableCharacters,
Shinra,Shinra,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIIShinraInc,
SOLDIER,SOLDIER,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIISOLDIER,
Sephiroth,Sephiroth,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIISephiroth,
Deepground,Deepground,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIIDeepground,
Antagonists,Antagonists,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIIOtherAntagonists,
Other,Other,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIIOtherCharacters,
Bosses,Bosses,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyVIIBosses,
