folder,alternativeMeasure,game,series,group,lines,words,sentences,syllables,FleschKincaidReadability,FleschReadability,DaleChallReadability,numCharacters
../data/Hades/Hades/,True,Hades,Hades,TOTAL,20874,236985,58011,284936,0.1908025338557504,100.97077941681812,6.35255866268606,55
../data/Hades/Hades/,True,Hades,Hades,male,16148,174521,43932,209203,0.1042612806887746,101.39059904609832,6.353933273979186,19
../data/Hades/Hades/,True,Hades,Hades,female,4142,56686,12663,68377,0.38948599918705007,100.24332360813708,6.297536232441777,11
../data/Hades/Hades/,True,Hades,Hades,genderless,354,4873,950,6298,1.661141155885817,92.28920395195873,6.836357971075852,1
../data/Hades/Hades/,True,Hades,Hades,neutral,0,NA,NA,NA,NA,NA,NA,0
../data/Hades/Hades/,True,Hades,Hades,droppedMale,202,826,417,969,-0.9746248715313452,105.57822544869677,7.2330172063801745,16
../data/Hades/Hades/,True,Hades,Hades,droppedFemale,28,79,48,89,-1.6544541139240483,109.855618407173,7.315854852320675,8
