VGDCName,TvTName,type,url,comment
characters,characters,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyXVillains,
characters,characters,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyXHeroes,
characters,characters,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyXOtherCharactersIntroducedInFinalFantasyX
Tidus,Tidus,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyXTidus,
Yuna,Yuna,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/FinalFantasyXYuna,

